inventory_id,product_id,warehouse,stock_quantity,reorder_level,last_restock_date
1,1,Phoenix,214,18,2026-08-05
2,2,Phoenix,76,35,2026-06-13
3,3,Phoenix,53,41,2026-05-19
4,3,Atlanta,168,15,2026-05-17
5,3,Chicago,295,44,2026-06-14
6,4,Chicago,359,32,2026-07-21
7,4,Dallas,441,38,2026-08-05
8,5,Phoenix,18,21,2026-06-20
9,5,Atlanta,20,38,2026-07-30
10,6,Dallas,430,47,2026-05-24
11,6,Chicago,212,17,2026-05-27
12,6,Phoenix,395,24,2026-06-23
13,7,Atlanta,109,13,2026-07-14
14,7,Dallas,127,23,2026-06-17
15,7,Chicago,218,10,2026-06-02
16,8,Atlanta,336,37,2026-07-01
17,8,Chicago,149,23,2026-05-14
18,8,Dallas,308,31,2026-05-15
19,9,Chicago,292,44,2026-06-07
20,10,Chicago,147,39,2026-07-10
21,10,Dallas,482,13,2026-05-10
22,11,Phoenix,481,21,2026-06-17
23,11,Atlanta,224,42,2026-06-10
24,11,Dallas,358,21,2026-08-02
25,12,Chicago,209,23,2026-07-17
26,12,Phoenix,466,38,2026-06-23
27,12,Dallas,75,24,2026-06-09
28,13,Chicago,97,32,2026-07-31
29,14,Atlanta,99,22,2026-07-25
30,14,Chicago,233,26,2026-06-27
31,14,Phoenix,266,40,2026-07-08
32,15,Atlanta,224,20,2026-07-13
33,15,Phoenix,435,22,2026-07-03
34,16,Phoenix,326,36,2026-05-21
35,17,Chicago,428,38,2026-07-21
36,17,Phoenix,80,30,2026-07-28
37,17,Dallas,274,26,2026-05-14
38,18,Phoenix,209,44,2026-08-02
39,19,Phoenix,238,45,2026-06-14
40,19,Atlanta,386,34,2026-06-27
41,19,Chicago,254,40,2026-06-04
42,20,Phoenix,148,19,2026-07-11
43,20,Chicago,248,38,2026-05-11
44,21,Dallas,456,46,2026-06-02
45,21,Chicago,188,32,2026-07-20
46,22,Atlanta,113,14,2026-05-26
47,22,Chicago,169,47,2026-05-28
48,22,Phoenix,292,50,2026-05-28
49,23,Phoenix,468,41,2026-07-04
50,23,Atlanta,368,29,2026-05-13
51,23,Dallas,13,46,2026-07-06
52,24,Dallas,378,46,2026-05-13
53,24,Atlanta,342,22,2026-05-18
54,25,Chicago,335,20,2026-06-15
55,25,Atlanta,299,36,2026-06-20
56,26,Dallas,89,15,2026-05-08
57,26,Chicago,126,40,2026-06-23
58,26,Atlanta,291,50,2026-05-12
59,27,Dallas,215,12,2026-05-09
60,27,Atlanta,162,28,2026-07-03
61,28,Dallas,34,40,2026-07-29
62,28,Atlanta,489,41,2026-06-08
63,28,Phoenix,56,24,2026-08-05
64,29,Chicago,131,16,2026-05-11
65,30,Chicago,494,16,2026-08-04
66,30,Atlanta,17,19,2026-05-13
67,31,Atlanta,138,49,2026-07-21
68,31,Dallas,255,23,2026-06-20
69,32,Dallas,408,34,2026-06-19
70,32,Phoenix,57,14,2026-07-21
71,32,Chicago,430,36,2026-06-24
72,33,Dallas,175,23,2026-08-05
73,33,Phoenix,424,49,2026-07-02
74,34,Chicago,186,40,2026-06-04
75,34,Dallas,160,44,2026-05-22
76,34,Atlanta,439,50,2026-07-14
77,35,Dallas,486,33,2026-05-26
78,35,Chicago,226,35,2026-07-04
79,36,Dallas,453,34,2026-07-15
80,37,Dallas,132,38,2026-05-15
81,38,Chicago,429,42,2026-06-06
82,38,Atlanta,256,10,2026-05-30
83,38,Phoenix,392,24,2026-07-24
84,39,Chicago,278,26,2026-05-26
85,39,Phoenix,465,37,2026-07-18
86,40,Atlanta,319,44,2026-07-22
87,41,Chicago,357,48,2026-07-31
88,42,Dallas,125,34,2026-06-03
89,43,Phoenix,18,24,2026-07-25
90,44,Phoenix,362,40,2026-05-14
91,45,Dallas,306,33,2026-06-14
92,45,Phoenix,157,39,2026-05-30
93,45,Chicago,163,49,2026-05-16
94,46,Dallas,316,42,2026-07-25
95,47,Atlanta,14,31,2026-05-10
96,47,Dallas,154,13,2026-06-11
97,47,Phoenix,33,32,2026-07-27
98,48,Phoenix,481,50,2026-06-26
99,48,Dallas,195,42,2026-05-23
100,48,Atlanta,23,42,2026-07-14
101,49,Atlanta,109,11,2026-07-28
102,49,Dallas,392,20,2026-06-07
103,49,Chicago,239,39,2026-05-08
104,50,Atlanta,360,42,2026-07-09
105,51,Phoenix,96,44,2026-05-17
106,51,Dallas,254,21,2026-05-28
107,51,Chicago,25,41,2026-05-19
108,52,Phoenix,17,38,2026-05-31
109,52,Dallas,163,23,2026-05-28
110,53,Chicago,99,23,2026-07-19
111,53,Atlanta,259,23,2026-08-04
112,53,Dallas,474,49,2026-06-23
113,54,Phoenix,199,41,2026-07-21
114,54,Atlanta,292,17,2026-06-22
115,54,Dallas,136,18,2026-07-15
116,55,Phoenix,32,34,2026-06-25
117,56,Chicago,220,21,2026-07-15
118,57,Dallas,47,17,2026-06-08
119,58,Chicago,110,18,2026-05-17
120,58,Phoenix,211,35,2026-07-30
121,58,Dallas,198,32,2026-06-03
122,59,Phoenix,458,23,2026-05-09
123,59,Chicago,87,32,2026-06-30
124,60,Atlanta,175,35,2026-06-01
125,61,Phoenix,369,19,2026-06-03
126,62,Dallas,43,48,2026-07-09
127,62,Phoenix,100,19,2026-05-20
128,62,Atlanta,299,48,2026-06-30
129,63,Chicago,131,33,2026-07-27
130,64,Phoenix,288,16,2026-05-20
131,65,Dallas,113,41,2026-06-19
132,65,Chicago,109,35,2026-07-19
133,65,Atlanta,474,39,2026-06-26
134,66,Phoenix,379,32,2026-05-27
135,66,Dallas,498,38,2026-05-29
136,66,Chicago,113,49,2026-08-02
137,67,Atlanta,396,30,2026-05-10
138,68,Dallas,300,13,2026-05-08
139,68,Chicago,19,37,2026-06-06
140,68,Phoenix,21,26,2026-05-07
141,69,Chicago,226,20,2026-08-05
142,69,Atlanta,81,12,2026-07-17
143,69,Dallas,359,37,2026-06-11
144,70,Dallas,212,49,2026-06-12
145,71,Phoenix,180,23,2026-06-15
146,71,Chicago,359,45,2026-05-12
147,72,Dallas,28,24,2026-07-01
148,72,Chicago,310,16,2026-05-28
149,72,Atlanta,259,38,2026-07-08
150,73,Phoenix,58,45,2026-07-11
151,73,Atlanta,369,30,2026-06-15
152,73,Dallas,457,36,2026-05-11
153,74,Chicago,486,11,2026-07-09
154,75,Atlanta,274,22,2026-06-21
155,76,Dallas,373,46,2026-07-28
156,76,Phoenix,80,41,2026-06-26
157,76,Atlanta,441,21,2026-06-25
158,77,Phoenix,246,16,2026-07-13
159,78,Dallas,473,26,2026-06-01
160,78,Chicago,86,32,2026-07-19
161,78,Phoenix,123,48,2026-07-10
162,79,Phoenix,307,39,2026-07-06
163,79,Atlanta,341,46,2026-07-12
164,80,Atlanta,452,36,2026-06-12
165,81,Phoenix,26,27,2026-07-23
166,81,Chicago,378,34,2026-08-05
167,81,Atlanta,282,42,2026-05-09
168,82,Dallas,187,23,2026-07-02
169,82,Chicago,277,33,2026-06-16
170,82,Atlanta,352,26,2026-06-17
171,83,Chicago,255,29,2026-07-27
172,83,Atlanta,57,26,2026-07-08
173,84,Atlanta,288,27,2026-07-06
174,84,Phoenix,453,43,2026-06-22
175,84,Dallas,415,19,2026-07-28
176,85,Atlanta,471,27,2026-05-27
177,86,Chicago,60,17,2026-05-16
178,86,Atlanta,124,21,2026-06-30
179,86,Dallas,24,24,2026-05-16
180,87,Atlanta,230,31,2026-07-18
181,87,Phoenix,103,34,2026-06-30
182,88,Atlanta,221,21,2026-06-30
183,88,Chicago,351,38,2026-07-27
184,89,Chicago,187,37,2026-06-03
185,89,Atlanta,436,47,2026-05-23
186,90,Phoenix,457,25,2026-07-12
187,90,Atlanta,303,13,2026-05-21
188,91,Atlanta,316,18,2026-07-15
189,91,Dallas,412,14,2026-05-27
190,91,Phoenix,305,50,2026-05-14
191,92,Chicago,191,19,2026-07-11
192,92,Atlanta,235,39,2026-07-25
193,93,Phoenix,332,29,2026-07-10
194,93,Atlanta,202,48,2026-05-14
195,94,Atlanta,236,34,2026-05-28
196,95,Atlanta,179,28,2026-06-13
197,96,Dallas,251,18,2026-05-29
198,97,Phoenix,332,40,2026-06-05
199,97,Dallas,331,17,2026-07-03
200,98,Chicago,65,26,2026-06-10
201,98,Phoenix,407,25,2026-07-21
202,98,Atlanta,499,31,2026-07-08
203,99,Dallas,128,45,2026-05-28
204,99,Phoenix,325,12,2026-07-12
205,99,Chicago,442,18,2026-07-23
206,100,Chicago,297,32,2026-05-21
207,100,Phoenix,308,26,2026-07-20
208,101,Phoenix,438,31,2026-05-10
209,101,Atlanta,19,10,2026-06-27
210,101,Dallas,105,22,2026-06-24
211,102,Atlanta,363,12,2026-08-04
212,102,Phoenix,408,26,2026-05-29
213,102,Chicago,465,13,2026-06-16
214,103,Dallas,91,40,2026-07-29
215,104,Chicago,170,36,2026-07-12
216,104,Atlanta,489,16,2026-05-23
217,104,Phoenix,331,23,2026-05-17
218,105,Atlanta,459,36,2026-07-02
219,106,Phoenix,427,18,2026-05-09
220,106,Dallas,38,28,2026-06-29
221,107,Atlanta,77,12,2026-05-29
222,108,Atlanta,282,42,2026-07-07
223,109,Phoenix,343,26,2026-07-31
224,110,Atlanta,271,45,2026-05-12
225,110,Phoenix,363,11,2026-05-15
226,110,Chicago,163,21,2026-06-01
227,111,Dallas,407,24,2026-05-24
228,111,Atlanta,307,36,2026-05-24
229,112,Dallas,275,41,2026-06-25
230,112,Chicago,160,40,2026-05-19
231,112,Atlanta,472,10,2026-05-23
232,113,Atlanta,125,22,2026-05-31
233,114,Atlanta,42,18,2026-07-07
234,114,Dallas,124,48,2026-05-31
235,115,Chicago,386,36,2026-06-05
236,115,Atlanta,361,19,2026-05-30
237,115,Phoenix,332,24,2026-05-23
238,116,Atlanta,487,11,2026-07-28
239,117,Dallas,339,33,2026-06-05
240,118,Atlanta,481,27,2026-06-29
241,118,Dallas,231,43,2026-06-07
242,118,Phoenix,36,11,2026-07-04
243,119,Phoenix,56,39,2026-05-17
244,120,Atlanta,160,16,2026-07-05
245,120,Chicago,140,40,2026-06-29
246,121,Phoenix,234,50,2026-05-18
247,122,Atlanta,286,31,2026-07-10
248,123,Atlanta,119,16,2026-06-21
249,123,Chicago,491,14,2026-05-21
250,123,Phoenix,317,22,2026-07-11
251,124,Atlanta,231,21,2026-05-28
252,124,Phoenix,18,38,2026-06-12
253,125,Atlanta,425,25,2026-06-10
254,125,Chicago,28,15,2026-07-06
255,125,Dallas,443,30,2026-07-22
256,126,Phoenix,120,20,2026-06-08
257,127,Dallas,176,40,2026-06-13
258,128,Phoenix,463,11,2026-06-24
259,129,Phoenix,75,50,2026-07-30
260,130,Phoenix,281,49,2026-06-23
261,130,Chicago,192,46,2026-07-04
262,131,Phoenix,259,20,2026-06-30
263,131,Atlanta,48,28,2026-05-23
264,132,Chicago,410,25,2026-06-03
265,132,Phoenix,439,40,2026-08-01
266,133,Chicago,61,43,2026-05-31
267,133,Dallas,263,21,2026-07-13
268,134,Phoenix,212,16,2026-05-11
269,134,Atlanta,50,33,2026-06-22
270,135,Atlanta,449,25,2026-05-23
271,135,Chicago,463,30,2026-05-19
272,136,Dallas,415,50,2026-06-04
273,137,Atlanta,493,42,2026-08-03
274,137,Chicago,167,10,2026-06-17
275,138,Phoenix,42,38,2026-06-16
276,139,Chicago,284,24,2026-07-09
