order_id,customer_id,product_id,quantity,unit_price,total_amount,order_date,order_status,shipping_city,shipping_state
1,951,199,3,225.44,0.0,2024-12-15,Cancelled,Holtstad,Mississippi
2,71,172,5,94.69,473.45,2025-01-22,Delivered,Osbornton,Mississippi
3,882,151,10,36.96,369.6,2025-09-07,Delivered,Edwardsmouth,Wisconsin
4,258,84,4,95.76,383.04,2024-01-21,Delivered,South Larryview,South Carolina
5,548,84,2,95.76,191.52,2024-11-26,Processing,Thomasstad,Montana
6,336,4,1,127.98,127.98,2024-07-18,Shipped,North Jeffrey,Tennessee
7,34,59,5,6.69,0.0,2024-12-31,Cancelled,Port Madison,Washington
8,159,97,5,62.81,314.05,2025-09-17,Shipped,North Brandiburgh,Wisconsin
9,825,97,3,62.81,188.43,2024-07-19,Delivered,West Joshua,Nevada
10,991,4,5,127.98,639.9,2024-05-17,Delivered,East Sabrina,Tennessee
11,459,65,2,180.33,360.66,2025-05-12,Delivered,Stanleyview,Rhode Island
12,385,142,2,89.63,179.26,2024-08-11,Delivered,East Destiny,Delaware
13,822,42,2,95.18,190.36,2024-05-29,Delivered,West Brianhaven,Oklahoma
14,232,105,4,145.88,583.52,2025-07-31,Delivered,East Johnborough,Michigan
15,270,29,3,71.74,215.22,2024-12-28,Delivered,Lake Allisonside,Mississippi
16,674,111,4,52.0,208.0,2024-03-18,Delivered,Watsontown,Michigan
17,397,36,1,754.48,754.48,2025-04-22,Delivered,Ericberg,New Hampshire
18,365,154,3,49.99,149.97,2025-01-19,Delivered,East Tom,Alabama
19,971,113,2,97.48,194.96,2024-02-04,Delivered,Brownfort,North Carolina
20,926,86,3,282.32,846.96,2025-01-31,Processing,Ethanmouth,Wyoming
21,914,108,3,35.35,106.05,2024-10-03,Delivered,Daybury,Alaska
22,915,195,2,97.33,194.66,2025-06-21,Delivered,Martinmouth,Wisconsin
23,24,172,1,94.69,0.0,2024-11-17,Cancelled,Port Danielborough,Ohio
24,536,198,11,25.72,282.92,2025-12-13,Delivered,Christopherview,Delaware
25,312,135,3,14.58,43.74,2025-03-09,Delivered,East Jeffreyhaven,Louisiana
26,549,170,1,178.63,178.63,2024-11-01,Delivered,Tonyaton,Nevada
27,860,180,5,21.56,107.8,2024-03-21,Delivered,Port Carolton,Massachusetts
28,52,135,4,14.58,58.32,2025-11-23,Delivered,West Gregghaven,West Virginia
29,256,134,2,311.18,0.0,2024-05-24,Cancelled,North Corey,Nebraska
30,701,156,2,29.37,58.74,2025-03-30,Processing,South Annetteshire,West Virginia
31,389,63,2,91.76,183.52,2024-03-20,Processing,Blackwellville,Connecticut
32,344,16,2,218.41,436.82,2025-02-03,Delivered,North Lauren,Mississippi
33,820,148,2,75.74,151.48,2024-07-21,Delivered,Loganton,Arkansas
34,886,186,1,178.23,178.23,2024-08-22,Delivered,Patriciamouth,Illinois
35,337,186,1,178.23,178.23,2024-11-05,Delivered,South Troy,Idaho
36,417,40,2,36.26,0.0,2024-02-26,Cancelled,Danielshaven,Minnesota
37,776,90,3,18.14,54.42,2024-10-17,Delivered,New Michaelshire,Pennsylvania
38,855,42,3,95.18,285.54,2024-11-12,Delivered,Reeseberg,Nebraska
39,67,7,4,45.16,180.64,2025-04-22,Delivered,East Luis,Florida
40,189,7,3,45.16,135.48,2025-10-12,Delivered,Nicholsonland,Virginia
41,353,52,2,58.13,116.26,2024-04-15,Returned,Michaelport,South Carolina
42,598,128,1,175.24,175.24,2025-04-28,Processing,Lake Jason,Michigan
43,804,14,2,252.45,504.9,2024-07-02,Delivered,Nicholasport,Idaho
44,214,165,5,38.1,190.5,2025-07-05,Shipped,Robinsonberg,Texas
45,848,14,3,252.45,757.35,2024-10-07,Processing,West Brettton,North Dakota
46,565,32,3,64.15,192.45,2025-04-04,Processing,South Ryan,New York
