product_id,product_name,category,brand,price
1,HarperCollins Premium Cookbook,Books,HarperCollins,30.83
2,Kellogg's Mini Coffee,Grocery,Kellogg's,18.84
3,Gap Smart Jeans,Clothing,Gap,104.42
4,Nivea Premium Lipstick,Beauty,Nivea,127.98
5,Dyson Mini Air Fryer,Home & Kitchen,Dyson,121.33
6,Kraft Essential Pasta Sauce,Grocery,Kraft,32.87
7,LEGO Ultra Puzzle,Toys,LEGO,45.16
8,Puma Classic Dress,Clothing,Puma,71.61
9,Dell Premium Tablet,Electronics,Dell,901.03
10,Lenovo Deluxe Headphones,Electronics,Lenovo,1605.0
11,Dyson Plus Coffee Maker,Home & Kitchen,Dyson,101.47
12,Dyson Plus Coffee Maker,Home & Kitchen,Dyson,466.36
13,Samsung Premium Headphones,Electronics,Samsung,200.56
14,Instant Pot Mini Air Fryer,Home & Kitchen,Instant Pot,252.45
15,Neutrogena Pro Face Cream,Beauty,Neutrogena,81.03
16,Wilson Mini Dumbbell Set,Sports Equipment,Wilson,218.41
17,Adidas Premium T-Shirt,Clothing,Adidas,153.37
18,General Mills Mini Pasta Sauce,Grocery,General Mills,11.27
19,Spalding Premium Running Shoes,Sports Equipment,Spalding,27.97
20,Wilson Mini Basketball,Sports Equipment,Wilson,34.43
21,Sony Deluxe Camera,Electronics,Sony,403.17
22,Scholastic Pro Cookbook,Books,Scholastic,18.02
23,Simon & Schuster Plus Novel,Books,Simon & Schuster,56.34
24,Kellogg's Premium Cereal,Grocery,Kellogg's,7.3
25,Nivea Pro Lipstick,Beauty,Nivea,115.58
26,General Mills Ultra Cereal,Grocery,General Mills,13.77
27,Cuisinart Max Toaster,Home & Kitchen,Cuisinart,90.21
28,Lenovo Pro Headphones,Electronics,Lenovo,369.51
29,Dyson Premium Air Fryer,Home & Kitchen,Dyson,71.74
30,Nike Plus T-Shirt,Clothing,Nike,84.94
31,Zara Deluxe Shorts,Clothing,Zara,61.67
32,Nike Essential Dress,Clothing,Nike,64.15
33,Nivea Ultra Shampoo,Beauty,Nivea,31.92
34,Fisher-Price Smart RC Car,Toys,Fisher-Price,18.21
35,Maybelline Mini Shampoo,Beauty,Maybelline,18.72
36,Apple Ultra Camera,Electronics,Apple,754.48
37,Under Armour Mini Dumbbell Set,Sports Equipment,Under Armour,226.21
38,Spalding Premium Dumbbell Set,Sports Equipment,Spalding,31.4
39,Nike Plus Dumbbell Set,Sports Equipment,Nike,49.93
40,Levi's Essential Sneakers,Clothing,Levi's,36.26
41,Neutrogena Plus Shampoo,Beauty,Neutrogena,70.23
42,Hasbro Deluxe Doll,Toys,Hasbro,95.18
43,HP Premium Smartwatch,Electronics,HP,744.66
44,Spalding Mini Tennis Racket,Sports Equipment,Spalding,268.71
45,Levi's Mini Jeans,Clothing,Levi's,172.19
46,Hasbro Essential Action Figure,Toys,Hasbro,23.4
47,Adidas Classic Dress,Clothing,Adidas,64.42
48,Dyson Essential Coffee Maker,Home & Kitchen,Dyson,260.96
49,Hasbro Smart RC Car,Toys,Hasbro,30.9
50,Nike Premium Yoga Mat,Sports Equipment,Nike,34.59
51,Mattel Classic RC Car,Toys,Mattel,83.6
52,HarperCollins Classic Journal,Books,HarperCollins,58.13
53,Zara Ultra Dress,Clothing,Zara,149.5
