inventory_id,product_id,warehouse,stock_quantity,reorder_level,last_restock_date
1,1,Dallas,141,17,2026-07-25
2,1,Phoenix,134,28,2026-05-21
3,1,Atlanta,146,18,2026-07-15
4,2,Atlanta,427,14,2026-07-15
5,2,Chicago,397,18,2026-05-02
6,3,Atlanta,396,27,2026-05-08
7,4,Phoenix,345,46,2026-07-19
8,4,Atlanta,271,44,2026-06-27
9,4,Dallas,424,18,2026-06-20
10,5,Chicago,470,48,2026-05-23
11,6,Dallas,335,17,2026-07-06
12,6,Phoenix,339,15,2026-06-24
13,6,Chicago,232,47,2026-07-21
14,7,Chicago,499,31,2026-06-22
15,8,Atlanta,47,37,2026-06-14
16,9,Chicago,44,29,2026-05-28
17,9,Dallas,398,33,2026-06-24
18,10,Atlanta,312,18,2026-06-10
19,10,Chicago,213,24,2026-07-21
20,11,Chicago,355,48,2026-07-26
21,11,Phoenix,181,23,2026-05-08
22,11,Dallas,362,44,2026-05-23
23,12,Chicago,116,47,2026-05-03
24,12,Dallas,468,42,2026-07-30
25,13,Atlanta,27,18,2026-05-02
26,13,Chicago,134,17,2026-07-20
27,14,Phoenix,95,50,2026-05-26
28,14,Chicago,54,25,2026-05-13
29,14,Dallas,282,13,2026-07-10
30,15,Phoenix,129,49,2026-06-04
31,15,Dallas,38,12,2026-06-17
32,15,Atlanta,221,28,2026-06-04
33,16,Chicago,80,21,2026-07-08
34,16,Phoenix,260,42,2026-05-17
35,17,Atlanta,35,33,2026-07-03
36,17,Chicago,291,28,2026-06-29
37,17,Phoenix,375,49,2026-06-05
38,18,Phoenix,82,20,2026-06-21
39,19,Phoenix,276,47,2026-07-24
40,19,Chicago,253,14,2026-07-13
41,19,Atlanta,94,22,2026-07-22
42,20,Dallas,409,43,2026-06-23
43,21,Phoenix,400,19,2026-05-07
44,21,Dallas,345,11,2026-06-19
45,22,Chicago,38,50,2026-07-19
46,22,Atlanta,280,36,2026-05-01
47,22,Dallas,235,36,2026-06-26
48,23,Chicago,189,15,2026-07-26
49,23,Phoenix,353,17,2026-06-09
50,24,Dallas,275,16,2026-06-11
51,25,Dallas,180,47,2026-06-15
52,25,Atlanta,346,48,2026-05-28
53,25,Phoenix,260,14,2026-07-27
54,26,Atlanta,381,27,2026-07-26
55,26,Phoenix,326,26,2026-06-14
56,27,Chicago,382,41,2026-05-14
57,27,Phoenix,170,25,2026-06-23
58,28,Chicago,313,35,2026-05-13
59,29,Dallas,402,12,2026-05-10
60,30,Chicago,87,16,2026-06-08
61,31,Atlanta,477,41,2026-06-04
62,31,Dallas,471,23,2026-06-09
63,31,Chicago,13,22,2026-06-12
64,32,Atlanta,404,40,2026-06-15
65,32,Dallas,208,45,2026-05-11
66,33,Atlanta,284,24,2026-05-11
67,33,Dallas,243,42,2026-05-07
68,33,Phoenix,216,31,2026-07-03
69,34,Atlanta,315,27,2026-05-09
70,35,Atlanta,68,35,2026-07-08
71,35,Chicago,201,27,2026-07-19
72,36,Atlanta,380,14,2026-06-23
73,37,Atlanta,155,11,2026-06-25
74,37,Phoenix,253,37,2026-05-30
75,37,Dallas,320,43,2026-07-25
76,38,Phoenix,269,34,2026-05-25
77,39,Dallas,63,46,2026-07-07
78,40,Chicago,248,31,2026-06-22
79,40,Atlanta,363,30,2026-07-16
80,40,Dallas,321,33,2026-05-26
81,41,Atlanta,470,49,2026-07-27
82,41,Phoenix,32,48,2026-06-15
83,42,Chicago,90,43,2026-05-12
84,42,Atlanta,163,45,2026-05-19
85,43,Atlanta,93,44,2026-05-26
86,43,Dallas,272,43,2026-06-18
87,44,Chicago,145,38,2026-05-06
88,44,Dallas,257,15,2026-06-19
89,45,Atlanta,454,48,2026-05-09
90,46,Dallas,332,17,2026-06-06
91,46,Atlanta,471,46,2026-05-22
92,47,Chicago,131,26,2026-06-27
93,47,Dallas,239,50,2026-06-20
94,47,Atlanta,239,32,2026-06-16
95,48,Atlanta,162,18,2026-05-09
96,49,Chicago,201,45,2026-05-18
97,49,Dallas,30,28,2026-07-12
98,50,Chicago,380,28,2026-05-20
99,51,Chicago,107,19,2026-05-17
100,51,Atlanta,114,44,2026-07-07
101,51,Phoenix,499,10,2026-06-29
102,52,Dallas,15,10,2026-05-03
103,52,Phoenix,204,38,2026-06-04
104,52,Atlanta,445,50,2026-06-01
105,53,Atlanta,405,33,2026-07-22
106,54,Chicago,230,37,2026-07-23
107,55,Atlanta,27,49,2026-07-24
108,55,Phoenix,463,29,2026-07-07
109,56,Phoenix,99,41,2026-07-18
110,56,Dallas,20,32,2026-07-14
111,57,Dallas,235,35,2026-07-20
112,57,Chicago,414,18,2026-06-03
113,58,Chicago,405,25,2026-05-19
114,58,Atlanta,44,10,2026-06-26
115,58,Phoenix,352,28,2026-06-16
116,59,Atlanta,441,36,2026-05-04
117,59,Chicago,355,34,2026-05-18
118,60,Dallas,326,49,2026-06-23
119,60,Chicago,474,28,2026-07-10
120,60,Atlanta,58,40,2026-07-08
121,61,Atlanta,411,13,2026-07-09
122,61,Chicago,384,25,2026-05-29
123,62,Dallas,311,41,2026-07-11
124,62,Chicago,128,48,2026-07-18
125,62,Phoenix,406,34,2026-07-11
126,63,Dallas,71,18,2026-07-10
127,63,Atlanta,300,45,2026-06-27
128,63,Phoenix,435,27,2026-07-22
129,64,Phoenix,375,46,2026-06-21
130,64,Atlanta,192,35,2026-06-06
131,64,Dallas,33,33,2026-06-05
132,65,Atlanta,24,18,2026-05-18
133,65,Dallas,295,43,2026-07-02
134,65,Phoenix,216,24,2026-05-28
135,66,Dallas,401,29,2026-07-03
136,67,Chicago,256,31,2026-05-05
137,67,Phoenix,499,48,2026-07-02
138,67,Atlanta,315,39,2026-07-27
139,68,Atlanta,176,16,2026-06-06
140,68,Dallas,29,35,2026-05-28
141,68,Phoenix,478,30,2026-05-06
142,69,Chicago,185,34,2026-06-23
143,69,Phoenix,313,44,2026-06-24
144,69,Atlanta,356,31,2026-05-13
145,70,Phoenix,154,24,2026-05-07
146,71,Dallas,480,20,2026-05-17
147,72,Phoenix,204,12,2026-05-24
148,72,Chicago,390,38,2026-07-09
149,73,Chicago,227,43,2026-07-17
150,73,Phoenix,372,33,2026-07-15
151,74,Chicago,369,37,2026-07-17
152,74,Dallas,179,12,2026-06-07
153,75,Chicago,247,29,2026-06-25
154,76,Phoenix,370,27,2026-07-02
155,76,Chicago,24,40,2026-05-23
156,77,Dallas,328,37,2026-06-08
157,77,Phoenix,445,37,2026-07-11
158,78,Phoenix,438,36,2026-06-07
159,78,Atlanta,413,48,2026-07-19
160,79,Phoenix,154,46,2026-07-20
161,80,Phoenix,74,30,2026-07-19
162,81,Chicago,360,40,2026-05-06
163,81,Phoenix,355,49,2026-05-04
164,81,Dallas,103,39,2026-05-24
165,82,Atlanta,216,40,2026-07-21
166,82,Phoenix,470,45,2026-06-15
167,83,Phoenix,485,35,2026-06-27
168,84,Atlanta,103,27,2026-07-12
169,85,Phoenix,257,20,2026-06-11
170,85,Dallas,329,32,2026-05-28
171,85,Chicago,396,36,2026-05-30
172,86,Atlanta,486,22,2026-07-13
173,87,Atlanta,497,21,2026-05-19
174,88,Dallas,128,47,2026-05-23
175,89,Dallas,252,23,2026-05-28
176,90,Phoenix,436,23,2026-07-28
177,90,Atlanta,308,26,2026-07-19
178,90,Dallas,111,41,2026-06-02
179,91,Chicago,185,32,2026-07-07
180,91,Atlanta,60,50,2026-06-03
181,92,Dallas,251,12,2026-05-07
182,92,Atlanta,91,23,2026-07-06
183,93,Dallas,269,45,2026-05-30
184,93,Atlanta,12,10,2026-05-15
185,93,Chicago,10,34,2026-05-12
186,94,Atlanta,34,41,2026-07-30
187,95,Chicago,151,17,2026-07-15
188,95,Phoenix,148,13,2026-05-08
189,95,Atlanta,352,25,2026-06-10
190,96,Dallas,167,41,2026-07-12
191,96,Phoenix,122,30,2026-07-21
192,96,Atlanta,71,46,2026-05-19
193,97,Dallas,160,42,2026-07-25
194,97,Chicago,127,37,2026-07-29
195,97,Atlanta,201,27,2026-05-16
196,98,Phoenix,200,41,2026-07-26
197,99,Chicago,141,39,2026-06-12
198,99,Dallas,415,34,2026-05-13
199,99,Phoenix,52,36,2026-07-04
200,100,Phoenix,335,24,2026-06-10
201,100,Atlanta,411,16,2026-05-20
202,101,Atlanta,232,35,2026-07-01
203,101,Phoenix,376,20,2026-06-18
204,101,Dallas,120,22,2026-05-28
205,102,Atlanta,240,47,2026-06-04
206,102,Phoenix,109,48,2026-07-22
207,103,Phoenix,263,19,2026-07-06
208,104,Chicago,99,35,2026-06-26
209,105,Atlanta,368,48,2026-06-20
210,105,Phoenix,368,46,2026-06-10
211,105,Chicago,413,46,2026-05-01
212,106,Phoenix,495,21,2026-07-26
213,107,Chicago,346,28,2026-06-25
214,108,Atlanta,75,23,2026-06-08
215,108,Chicago,403,29,2026-07-26
216,108,Dallas,117,15,2026-07-18
217,109,Dallas,53,32,2026-05-22
218,110,Dallas,60,49,2026-07-22
219,110,Atlanta,105,23,2026-05-16
220,111,Atlanta,107,37,2026-05-22
221,111,Dallas,206,31,2026-05-28
222,111,Chicago,462,43,2026-07-29
223,112,Atlanta,362,33,2026-07-04
224,112,Chicago,407,20,2026-07-22
225,113,Phoenix,353,47,2026-07-24
226,114,Phoenix,79,48,2026-07-25
227,115,Dallas,276,48,2026-06-03
228,115,Phoenix,21,41,2026-06-13
229,116,Atlanta,54,20,2026-06-19
230,117,Phoenix,499,24,2026-06-13
231,117,Dallas,437,30,2026-07-21
232,118,Atlanta,435,15,2026-05-28
233,118,Chicago,131,41,2026-05-08
234,118,Phoenix,175,34,2026-06-28
235,119,Phoenix,426,35,2026-06-15
236,119,Dallas,178,41,2026-06-01
237,119,Chicago,127,34,2026-07-11
