order_id,customer_id,product_id,quantity,unit_price,total_amount,order_date,order_status,shipping_city,shipping_state
1,175,112,3,53.86,161.58,2025-12-11,Delivered,Taylorstad,Alabama
2,344,37,3,110.69,0.0,2025-07-02,Cancelled,Deborahchester,Virginia
3,525,21,2,65.8,131.6,2024-11-27,Delivered,Michaelland,Virginia
4,247,139,1,74.52,74.52,2024-12-13,Delivered,Morrisonbury,Nebraska
5,309,83,7,9.9,69.3,2025-10-21,Delivered,New Cassidy,Rhode Island
6,21,6,1,1964.49,1964.49,2025-03-02,Delivered,New Rebecca,Wyoming
7,744,195,5,32.25,161.25,2024-06-22,Delivered,Deborahstad,Oklahoma
8,411,132,2,895.45,1790.9,2024-11-02,Delivered,Vasquezfurt,Massachusetts
9,437,50,3,23.62,70.86,2024-01-02,Delivered,New Amy,Georgia
10,738,10,4,107.87,431.48,2024-10-23,Delivered,Chapmanville,Tennessee
11,123,108,3,52.63,157.89,2024-09-29,Delivered,West Steven,North Carolina
12,221,8,3,80.04,240.12,2025-06-30,Delivered,Craigport,Utah
13,976,97,1,43.15,43.15,2024-09-17,Delivered,Carneyburgh,Tennessee
14,781,51,3,45.28,135.84,2024-02-26,Delivered,South Brenda,Wisconsin
15,745,107,2,56.54,113.08,2024-01-30,Processing,Steinport,Florida
16,90,17,1,625.15,625.15,2024-06-12,Delivered,Rodriguezton,Oregon
17,88,164,3,46.38,139.14,2024-02-21,Delivered,Port Brendamouth,New Hampshire
18,500,77,3,5.4,16.2,2025-11-30,Delivered,Heidimouth,Arizona
19,357,170,1,81.2,81.2,2024-09-22,Delivered,Lake Sheriside,Iowa
20,264,134,3,53.71,161.13,2025-01-23,Delivered,Wadebury,Utah
21,625,98,3,46.15,138.45,2025-05-23,Delivered,Sarafort,Michigan
22,20,64,1,32.06,32.06,2024-07-29,Delivered,South Richard,Alabama
23,256,199,2,97.62,195.24,2025-07-14,Processing,Lake Kevin,Wyoming
24,40,191,5,126.39,631.95,2025-01-17,Delivered,East Nicolas,Louisiana
25,83,64,5,32.06,160.3,2025-01-25,Delivered,New Joshua,Washington
26,907,172,1,84.77,84.77,2024-05-29,Processing,Lake James,Iowa
27,261,92,2,11.68,23.36,2024-09-11,Processing,Larrybury,Minnesota
28,428,168,5,16.61,83.05,2025-08-26,Shipped,Lake Kayla,South Dakota
29,55,127,1,150.5,150.5,2025-03-26,Delivered,Ashleyfort,Maryland
30,90,169,4,175.75,703.0,2024-01-05,Delivered,Rodriguezton,Oregon
31,585,188,2,102.39,204.78,2024-02-22,Delivered,East Victoria,Rhode Island
32,226,170,5,81.2,406.0,2025-01-11,Delivered,Josephview,Florida
33,510,72,6,9.09,54.54,2024-02-09,Delivered,Nolanberg,Illinois
34,696,2,1,134.26,134.26,2024-09-23,Processing,Nicolestad,Delaware
35,916,175,2,58.63,117.26,2024-08-12,Delivered,Kristenton,Indiana
36,934,112,3,53.86,0.0,2025-12-27,Cancelled,Heatherside,Hawaii
37,996,165,1,57.61,57.61,2024-09-19,Delivered,North Jessicachester,Louisiana
38,950,158,1,34.1,34.1,2024-03-12,Delivered,Lake Elizabethhaven,Connecticut
39,397,170,5,81.2,0.0,2025-01-29,Cancelled,East Robertview,Virginia
40,464,140,2,1253.62,2507.24,2025-09-02,Processing,Jamesport,Nebraska
41,296,52,5,27.18,135.9,2024-05-13,Delivered,Port Samuelton,Mississippi
42,965,32,2,87.66,175.32,2024-03-25,Delivered,Lake Philipton,Mississippi
43,499,196,2,138.33,276.66,2024-08-25,Shipped,West Michael,Rhode Island
44,119,44,1,423.84,0.0,2024-04-25,Cancelled,North Vanessaland,Virginia
45,217,153,5,98.25,491.25,2024-05-03,Delivered,Aguilarchester,Nevada
46,886,29,2,264.9,529.8,2025-12-17,Delivered,Lake Travisview,Texas
47,185,17,2,625.15,1250.3,2025-09-10,Delivered,Tylerchester,California
48,749,27,4,27.66,110.64,2025-07-07,Delivered,Nathanmouth,South Dakota
49,310,128,2,15.74,0.0,2024-03-18,Cancelled,Mitchellchester,Alaska
50,405,40,3,414.22,1242.66,2024-11-01,Delivered,Spearsstad,Arizona
51,950,197,1,42.46,42.46,2025-02-18,Processing,Lake Elizabethhaven,Connecticut
52,246,66,1,235.08,235.08,2024-06-06,Delivered,Emmabury,Connecticut
53,423,109,1,115.28,115.28,2025-01-20,Processing,New Angelaburgh,Maine
54,693,79,3,383.68,1151.04,2024-03-16,Shipped,Grossfort,Arkansas
55,712,28,2,84.71,169.42,2025-03-23,Shipped,Harrisborough,Tennessee
56,675,115,3,98.26,294.78,2024-08-23,Processing,Butlerchester,Iowa
57,668,38,5,31.32,0.0,2024-01-06,Cancelled,South Miguel,Ohio
58,706,101,1,450.0,450.0,2025-03-17,Delivered,Gregoryville,New Mexico
59,852,169,4,175.75,703.0,2024-05-11,Delivered,Amyville,Alabama
60,102,47,1,188.28,188.28,2025-07-02,Delivered,Haileyburgh,Texas
61,784,119,7,27.5,192.5,2024-08-06,Delivered,Kimberlytown,Oklahoma
62,416,197,3,42.46,127.38,2024-09-08,Shipped,Kellyshire,South Dakota
63,953,97,1,43.15,43.15,2025-04-26,Returned,Codychester,Rhode Island
64,910,181,3,86.64,259.92,2025-05-25,Delivered,Port Christopher,South Carolina
65,968,96,1,286.65,286.65,2024-01-12,Delivered,Ryanview,South Carolina
66,72,141,1,55.53,55.53,2025-10-02,Shipped,Davisville,Mississippi
